symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-06-10 00:00:00+00:00,352.84,354.77,346.09,347.9,41662938,87.6161509923,88.0954026968,85.9400116113,86.3894652823,166651752,0.0,1.0
AAPL,2020-06-11 00:00:00+00:00,335.9,351.06,335.48,349.31,50415613,83.4096619383,87.1741468296,83.3053688213,86.7395921753,201662452,0.0,1.0
AAPL,2020-06-12 00:00:00+00:00,338.8,347.8,334.22,344.72,50036513,84.1297810798,86.3646335878,82.9924894701,85.5998173962,200146052,0.0,1.0
AAPL,2020-06-15 00:00:00+00:00,342.99,345.68,332.58,333.25,34702230,85.1702290807,85.8382016637,82.5852496798,82.7516220332,138808920,0.0,1.0
AAPL,2020-06-16 00:00:00+00:00,352.08,353.2,344.72,351.46,41357182,87.4274301138,87.7055450926,85.5998173962,87.2734736077,165428728,0.0,1.0
AAPL,2020-06-17 00:00:00+00:00,351.59,355.4,351.09,355.15,28601626,87.3057548106,88.2518423724,87.181596338,88.189763136,114406504,0.0,1.0
AAPL,2020-06-18 00:00:00+00:00,351.73,353.45,349.22,351.41,24205096,87.340519183,87.7676243289,86.7172436502,87.2610577605,96820384,0.0,1.0
AAPL,2020-06-19 00:00:00+00:00,349.72,356.56,345.15,354.64,66118952,86.8414021228,88.5398900289,85.7065936827,88.0631214939,264475808,0.0,1.0
AAPL,2020-06-22 00:00:00+00:00,358.87,359.46,351.15,351.34,33861316,89.1135021727,89.2600091704,87.1964953547,87.2436755743,135445264,0.0,1.0
AAPL,2020-06-23 00:00:00+00:00,366.53,372.38,362.27,364.0,53038869,91.0156099739,92.4682641042,89.9577797868,90.3873681022,212155476,0.0,1.0
AAPL,2020-06-24 00:00:00+00:00,360.06,368.79,358.52,365.0,48155849,89.4089993376,91.5768062704,89.0265912418,90.6356850476,192623396,0.0,1.0
AAPL,2020-06-25 00:00:00+00:00,364.84,365.0,357.57,360.7,34380628,90.5959543363,90.6356850476,88.7906901437,89.5679221826,137522512,0.0,1.0
AAPL,2020-06-26 00:00:00+00:00,353.63,365.32,353.02,364.41,51314211,87.8123213791,90.7151464701,87.6608480425,90.4891780498,205256844,0.0,1.0
AAPL,2020-06-29 00:00:00+00:00,361.78,362.1736,351.28,353.25,32661519,89.8361044836,89.9338420333,87.2287765576,87.7179609399,130646076,0.0,1.0
AAPL,2020-06-30 00:00:00+00:00,364.8,365.98,360.0,360.08,35055821,90.5860216585,90.879035654,89.3941003209,89.4139656765,140223284,0.0,1.0
AAPL,2020-07-01 00:00:00+00:00,364.11,367.36,363.91,365.12,27690454,90.4146829662,91.2217130386,90.3650195772,90.665483081,110761816,0.0,1.0
AAPL,2020-07-02 00:00:00+00:00,364.11,370.47,363.64,367.85,28814516,90.4146829662,91.9939787386,90.2979740019,91.3433883418,115258064,0.0,1.0
AAPL,2020-07-06 00:00:00+00:00,373.85,375.78,369.87,370.0,29745936,92.8332900138,93.3125417183,91.8449885714,91.8772697743,118983744,0.0,1.0
AAPL,2020-07-07 00:00:00+00:00,372.69,378.62,372.23,375.41,28206999,92.5452423572,94.017761843,92.4310165624,93.2206644485,112827996,0.0,1.0
AAPL,2020-07-08 00:00:00+00:00,381.37,381.5,376.36,376.72,29274479,94.7006334427,94.7329146456,93.4565655466,93.5459596469,117097916,0.0,1.0
AAPL,2020-07-09 00:00:00+00:00,383.01,385.27,378.69,385.05,31420357,95.1078732331,95.6690695295,94.0351440292,95.6144398016,125681428,0.0,1.0
AAPL,2020-07-10 00:00:00+00:00,383.68,383.92,378.82,381.34,22564330,95.2742455864,95.3338416533,94.0674252321,94.6931839344,90257320,0.0,1.0
AAPL,2020-07-13 00:00:00+00:00,381.91,399.82,381.03,389.06,47913079,94.8347245932,99.2820810842,94.6162056813,96.6101907524,191652316,0.0,1.0
AAPL,2020-07-14 00:00:00+00:00,388.23,389.02,375.51,379.36,42748119,96.4040876877,96.6002580745,93.2454961431,94.2015163826,170992476,0.0,1.0
AAPL,2020-07-15 00:00:00+00:00,390.9,396.99,385.96,395.96,38306874,97.0670939318,98.5793441289,95.8404082218,98.3235776752,153227496,0.0,1.0
AAPL,2020-07-16 00:00:00+00:00,386.09,389.62,383.62,386.25,27645927,95.8726894247,96.7492482417,95.2593465697,95.912420136,110583708,0.0,1.0
AAPL,2020-07-17 00:00:00+00:00,385.31,388.59,383.36,387.95,23046755,95.6790022073,96.493481788,95.1947841639,96.334558943,92187020,0.0,1.0
AAPL,2020-07-20 00:00:00+00:00,393.43,394.0,384.25,385.67,22397208,97.6953358035,97.8368764623,95.4157862453,95.7683963077,89588832,0.0,1.0
AAPL,2020-07-21 00:00:00+00:00,388.0,397.0,386.97,396.69,25627347,96.3469747903,98.5818272983,96.0912083366,98.5048490453,102509388,0.0,1.0
AAPL,2020-07-22 00:00:00+00:00,389.09,391.9,386.41,386.77,22250413,96.6176402607,97.3154108771,95.9521508472,96.0415449475,89001652,0.0,1.0
AAPL,2020-07-23 00:00:00+00:00,371.38,388.31,368.039,387.9935,49251108,92.2199471588,96.4239530434,91.3903202444,96.3453607302,197004432,0.0,1.0
AAPL,2020-07-24 00:00:00+00:00,370.46,371.88,356.58,363.95,46359716,91.9914955691,92.3441056315,88.5448563678,90.374952255,185438864,0.0,1.0
AAPL,2020-07-27 00:00:00+00:00,379.24,379.62,373.92,374.84,30303548,94.1717183492,94.2660787884,92.8506722,93.0791237897,121214192,0.0,1.0
AAPL,2020-07-28 00:00:00+00:00,373.01,378.1986,372.99,377.47,25906375,92.6247037797,93.9131210823,92.6197374408,93.7321973559,103625500,0.0,1.0
AAPL,2020-07-29 00:00:00+00:00,380.16,380.92,374.85,375.0,22582314,94.4001699389,94.5888908173,93.0816069591,93.1188545009,90329256,0.0,1.0
AAPL,2020-07-30 00:00:00+00:00,384.76,385.19,375.07,376.75,39532505,95.5424278874,95.6492041739,93.1362366871,93.5534091553,158130020,0.0,1.0
AAPL,2020-07-31 00:00:00+00:00,425.04,425.66,403.3,411.535,93573867,105.5446344455,105.6985909516,100.1462240539,102.1911140988,374295468,0.0,1.0
AAPL,2020-08-03 00:00:00+00:00,435.75,446.5457,431.57,432.8,77037847,108.2041089301,110.8848641768,107.1661440986,107.4715739413,308151388,0.0,1.0
AAPL,2020-08-04 00:00:00+00:00,438.66,443.16,433.55,436.53,43198092,108.926711241,110.044137495,107.6578116503,108.3977961474,172792368,0.0,1.0
AAPL,2020-08-05 00:00:00+00:00,440.25,441.57,435.59,437.51,30497988,109.3215351841,109.6493135519,108.1643782188,108.6411467539,121991952,0.0,1.0
AAPL,2020-08-06 00:00:00+00:00,455.61,457.65,439.19,441.62,50607225,113.1356834645,113.6422500329,109.058319222,109.6617293992,202428900,0.0,1.0
